username,display_name,date,followers,following,tweets,change,percent_change
bennyjohnson,Benny Johnson,2022-03-29,511129,2007,61193,,
bennyjohnson,Benny Johnson,2022-03-30,512507,2009,61219,1378.0,0.0026959925967808
bennyjohnson,Benny Johnson,2022-03-31,513809,2010,61266,1302.0,0.0025404531060062
bennyjohnson,Benny Johnson,2022-04-01,514723,2010,61311,914.0,0.0017788711369399
bennyjohnson,Benny Johnson,2022-04-02,515290,2010,61322,567.0,0.0011015633651498
bennyjohnson,Benny Johnson,2022-04-03,516029,2010,61348,739.0,0.001434143880145
bennyjohnson,Benny Johnson,2022-04-04,516744,2011,61371,715.0,0.0013855810429259
bennyjohnson,Benny Johnson,2022-04-05,518108,2010,61434,1364.0,0.0026396049107488
bennyjohnson,Benny Johnson,2022-04-06,521054,2011,61489,2946.0,0.0056860731739327
bennyjohnson,Benny Johnson,2022-04-07,523680,2010,61539,2626.0,0.0050397847439995
bennyjohnson,Benny Johnson,2022-04-08,524843,2011,61575,1163.0,0.0022208218759547
bennyjohnson,Benny Johnson,2022-04-09,526046,2011,61608,1203.0,0.0022921140226697
bennyjohnson,Benny Johnson,2022-04-10,527133,2011,61640,1087.0,0.0020663592157339
bennyjohnson,Benny Johnson,2022-04-11,528035,2011,61660,902.0,0.001711143108096
bennyjohnson,Benny Johnson,2022-04-12,529015,2011,61698,980.0,0.0018559375798952
bennyjohnson,Benny Johnson,2022-04-13,530184,2013,61730,1169.0,0.0022097672088692
bennyjohnson,Benny Johnson,2022-04-14,531199,2013,61783,1015.0,0.0019144297074222
bennyjohnson,Benny Johnson,2022-04-15,532803,2015,61848,1604.0,0.0030195839977107
bennyjohnson,Benny Johnson,2022-04-16,533937,2016,61860,1134.0,0.0021283663943334
bennyjohnson,Benny Johnson,2022-04-17,534624,2016,61874,687.0,0.0012866686519195
bennyjohnson,Benny Johnson,2022-04-18,535056,2017,61875,432.0,0.000808044532232
bennyjohnson,Benny Johnson,2022-04-19,535876,2018,61940,820.0,0.0015325498639395
bennyjohnson,Benny Johnson,2022-04-20,537153,2018,62032,1277.0,0.0023830139808462
bennyjohnson,Benny Johnson,2022-04-21,538403,2019,62098,1250.0,0.0023270837173021
bennyjohnson,Benny Johnson,2022-04-22,539390,2020,62163,987.0,0.0018331992949518
bennyjohnson,Benny Johnson,2022-04-23,539861,2021,62202,471.0,0.0008732086245573
bennyjohnson,Benny Johnson,2022-04-24,540421,2021,62228,560.0,0.0010373040467823
bennyjohnson,Benny Johnson,2022-04-25,540958,2021,62247,537.0,0.0009936697500652
bennyjohnson,Benny Johnson,2022-04-26,557420,2022,62366,16462.0,0.0304311979857956
CLewandowski_,Corey R. Lewandowski,2022-03-29,510700,51,3611,,
CLewandowski_,Corey R. Lewandowski,2022-03-30,510674,51,3615,-26.0,-5.091051497940757e-05
CLewandowski_,Corey R. Lewandowski,2022-03-31,510605,51,3615,-69.0,-0.0001351155531709
CLewandowski_,Corey R. Lewandowski,2022-04-01,510574,51,3617,-31.0,-6.071229228077346e-05
CLewandowski_,Corey R. Lewandowski,2022-04-02,510547,51,3619,-27.0,-5.28816586822245e-05
CLewandowski_,Corey R. Lewandowski,2022-04-03,510537,51,3619,-10.0,-1.958683529623695e-05
CLewandowski_,Corey R. Lewandowski,2022-04-04,510542,51,3619,5.0,9.793609473840448e-06
CLewandowski_,Corey R. Lewandowski,2022-04-05,510511,51,3619,-31.0,-6.071978407262701e-05
CLewandowski_,Corey R. Lewandowski,2022-04-06,510562,51,3619,51.0,9.98999042136628e-05
CLewandowski_,Corey R. Lewandowski,2022-04-07,510585,51,3621,23.0,4.5048397648184135e-05
CLewandowski_,Corey R. Lewandowski,2022-04-08,510557,51,3621,-28.0,-5.483905715997217e-05
CLewandowski_,Corey R. Lewandowski,2022-04-09,510565,51,3621,8.0,1.56691613277804e-05
CLewandowski_,Corey R. Lewandowski,2022-04-10,510554,51,3623,-11.0,-2.154475923732413e-05
CLewandowski_,Corey R. Lewandowski,2022-04-11,510549,51,3624,-5.0,-9.79328337458174e-06
CLewandowski_,Corey R. Lewandowski,2022-04-12,510541,51,3624,-8.0,-1.5669406854157408e-05
CLewandowski_,Corey R. Lewandowski,2022-04-13,510536,51,3627,-5.0,-9.79353274266348e-06
CLewandowski_,Corey R. Lewandowski,2022-04-14,510535,51,3627,-1.0,-1.958725731388e-06
CLewandowski_,Corey R. Lewandowski,2022-04-15,510541,51,3631,6.0,1.1752377407914238e-05
CLewandowski_,Corey R. Lewandowski,2022-04-16,510537,51,3631,-4.0,-7.834826194152988e-06
CLewandowski_,Corey R. Lewandowski,2022-04-17,510505,51,3631,-32.0,-6.267910063328941e-05
CLewandowski_,Corey R. Lewandowski,2022-04-18,510496,51,3632,-9.0,-1.762960206075359e-05
CLewandowski_,Corey R. Lewandowski,2022-04-19,510475,51,3633,-21.0,-4.113646336112442e-05
