username,display_name,date,followers,following,tweets,change,percent_change
0liviajulianna,Olivia Julianna,2022-03-29,100129,3845,4270,,
0liviajulianna,Olivia Julianna,2022-03-30,100139,3855,4325,10.0,9.987116619569748e-05
0liviajulianna,Olivia Julianna,2022-03-31,100246,4000,4355,107.0,0.0010685147644773
0liviajulianna,Olivia Julianna,2022-04-01,100310,4023,4389,64.0,0.0006384294635197
0liviajulianna,Olivia Julianna,2022-04-02,100350,4024,4411,40.0,0.0003987638321203
0liviajulianna,Olivia Julianna,2022-04-03,100391,4025,4420,41.0,0.0004085700049825
0liviajulianna,Olivia Julianna,2022-04-04,100529,4038,4443,138.0,0.0013746252154076
0liviajulianna,Olivia Julianna,2022-04-05,100561,4039,4463,32.0,0.0003183161077897
0liviajulianna,Olivia Julianna,2022-04-06,100580,4041,4482,19.0,0.0001889400463399
0liviajulianna,Olivia Julianna,2022-04-07,100633,4043,4499,53.0,0.000526943726387
0liviajulianna,Olivia Julianna,2022-04-08,100678,4044,4513,45.0,0.0004471694175867
0liviajulianna,Olivia Julianna,2022-04-09,100722,4057,4530,44.0,0.0004370368898864
0liviajulianna,Olivia Julianna,2022-04-10,100820,4060,4548,98.0,0.0009729751196361
0liviajulianna,Olivia Julianna,2022-04-11,100862,4061,4555,42.0,0.000416584011109
0liviajulianna,Olivia Julianna,2022-04-12,100876,4062,4566,14.0,0.0001388035137117
0liviajulianna,Olivia Julianna,2022-04-13,100912,4067,4579,36.0,0.0003568737856378
0liviajulianna,Olivia Julianna,2022-04-14,100917,4071,4598,5.0,4.954812113533436e-05
0liviajulianna,Olivia Julianna,2022-04-15,100904,4073,4617,-13.0,-0.0001288187322254
0liviajulianna,Olivia Julianna,2022-04-16,100948,4103,4655,44.0,0.0004360580353603
0liviajulianna,Olivia Julianna,2022-04-17,100978,4103,4670,30.0,0.0002971827079287
0liviajulianna,Olivia Julianna,2022-04-18,101001,4107,4677,23.0,0.0002277723860641
0liviajulianna,Olivia Julianna,2022-04-19,101017,4117,4688,16.0,0.0001584142731259
0liviajulianna,Olivia Julianna,2022-04-20,100989,4122,4704,-28.0,-0.000277181068533
0liviajulianna,Olivia Julianna,2022-04-21,100987,4133,4724,-2.0,-1.9804137084245e-05
0liviajulianna,Olivia Julianna,2022-04-22,101040,4162,4738,53.0,0.0005248200263401
0liviajulianna,Olivia Julianna,2022-04-23,101059,4175,4759,19.0,0.0001880443388757
0liviajulianna,Olivia Julianna,2022-04-24,101087,4186,4770,28.0,0.0002770658724111
0liviajulianna,Olivia Julianna,2022-04-25,101150,4199,4781,63.0,0.0006232255383975
0liviajulianna,Olivia Julianna,2022-04-26,100174,4180,4790,-976.0,-0.0096490360850222
AOC,Alexandria Ocasio-Cortez,2022-03-29,12940965,3687,13617,,
AOC,Alexandria Ocasio-Cortez,2022-03-30,12942773,3690,13631,1808.0,0.0001397113739198
AOC,Alexandria Ocasio-Cortez,2022-03-31,12943286,3700,13634,513.0,3.963601926737503e-05
AOC,Alexandria Ocasio-Cortez,2022-04-01,12944221,3699,13644,935.0,7.223822451263295e-05
AOC,Alexandria Ocasio-Cortez,2022-04-02,12946088,3702,13649,1867.0,0.0001442342493997
AOC,Alexandria Ocasio-Cortez,2022-04-03,12947747,3705,13660,1659.0,0.0001281468193325
AOC,Alexandria Ocasio-Cortez,2022-04-04,12949356,3706,13660,1609.0,0.0001242687241262
AOC,Alexandria Ocasio-Cortez,2022-04-05,12950319,3708,13662,963.0,7.43666325955239e-05
AOC,Alexandria Ocasio-Cortez,2022-04-06,12950462,3709,13672,143.0,1.1042199037802902e-05
AOC,Alexandria Ocasio-Cortez,2022-04-07,12951616,3711,13679,1154.0,8.910879009560446e-05
