Name,Handle
Alexandria Ocasio-Cortez,AOC
Andy Slavitt,ASlavitt
Ayanna Pressley,AyannaPressley
Barack Obama,BarackObama
Ben Rhodes (pod save america),brhodes
Bernie Sanders,berniesanders
Beto O'Rourke,betoorourke
Briahna Joy Gray,briebriejoy
Cenk Uygur,cenkuygur
Charles Booker,Booker4KY
Chasten Buttigieg,Chasten
Chris Hayes,ChrisLHayes
Chrissy Teigen,chrissyteigen
Cori Bush,CoriBush
David Sirota,davidsirota
Devin Nunes's Cow,devincow
DNC,DNC
Elizabeth Warren,ewarren
Faiz Shakir (bernie guy),fshakir
Gravel Insitute,gravelinstitute
Hasan Piker,hasanthehun
Hillary Clinton,HillaryClinton
House Democrats,HouseDemocrats
Ibram X Kendi,DrIbram
Jon Ossoff,ossoff
Jordan Uhl,JordanUhl
Joshua Rush,joshuarush
KamalaHarris,KamalaHarris
Krystal Ball,krystalball
Maxine Waters,RepMaxineWaters
Mehdi Hasan,mehdirhasan
Natalie Wynn/Contrapoints,Contrapoints
Nicole Hannah Jones,nhannahjones
Nina Turner,ninaturner
Olivia Julianna,0liviajulianna
PatriotTakes,patriottakes
Pete Buttigieg,PeteButtigieg
Rachel Bitecofer,RachelBitecofer
Rachel Maddow,maddow
Raphael Warnock,ReverendWarnock
Ro Khanna,reprokhanna
Rob Reiner,RobReiner
Robert Reich,RBReich
Ron Klain (White House),WHCOS
Roxane Gay,rgay
Shaun King,shaunking
Stacey Abrams,staceyabrams
Stephen Colbert,StephenAtHome
The Democrats,TheDemocrats
Will Menaker (Chapo),willmenaker
